Species,Locomotor_State,"Adult_Mass(g)",Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,Source (Author; Title; Year),,,,,,,,,,,
Malacomys_longipes,Amphibious,96.27,334.4,156.7,177.7,39.7,0.531399522,1.13401404,Kingdon et al 2013,,,,,,,,,,,
Mallomys_aroaensis,General,1731.995,804,410,394,72,0.490049751,0.96097561,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Mallomys_istapantap,General,1970.215,747,411,336,70.5,0.449799197,0.817518248,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Mallomys_rothschildi,Arboreal,1157.9,759.7,380,379.7,65.1,0.499802554,0.999210526,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Malpaisomys_insularis,Terrestrial,71.33,NA,NA,NA,NA,,,"Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Mammelomys_lanosus,Terrestrial,116.8,286,162.3,123.7,36.6,0.432517483,0.762168823,"Flannery 1995a, Wilman et al 2014",,,,,,,,,,,
Mammelomys_rattoides,Terrestrial,212.245,326,200,126,38,0.386503067,0.63,"Flannery 1995a, Flannery 1995b",,,,,,,,,,,
Margaretamys_beccarii,Arboreal,65.4,317,132,185,28,0.583596215,1.401515152,"Nowak 1991, Musser 1981",,,,,,,,,,,
Margaretamys_christinae,Arboreal,49,286,111,175,20,0.611888112,1.576576577,Mortelliti et al 2012,,,,,,,,,,,
Margaretamys_elegans,Arboreal,121,439.8,180,259.8,36.5,0.590723056,1.443333333,"Nowak 1991, Musser 1981",,,,,,,,,,,
Margaretamys_parvus,Arboreal,40,258,100,158,20,0.612403101,1.58,"Nowak 1991, Musser 1981",,,,,,,,,,,
Mastacomys_fuscus,Terrestrial,125.36,270,161.7,108.3,34,0.401111111,0.669758813,"Strahan 1983, Nowak 1991",,,,,,,,,,,
Mastomys_awashensis,Terrestrial,46,240,122,118,23.8,0.491666667,0.967213115,Kingdon et al 2013,,,,,,,,,,,
Mastomys_coucha,Terrestrial,42.405,185,100,85,20,0.459459459,0.85,Kingdon et al 2013,,,,,,,,,,,
Mastomys_erythroleucus,Terrestrial,56.935,225.7,118,107.7,23,0.4771821,0.912711864,"Kingdon et al 2013,  Nowak 1991",,,,,,,,,,,
Mastomys_huberti,Terrestrial,59.1,253,139,114,25.1,0.450592885,0.820143885,Kingdon et al 2013,,,,,,,,,,,
