Geographic Region,Subfamily,Tribe,Division,Genus,Species,Genus species,Extinct/TAXONOMY,Notes Specimen Taxonomy,Exome
SAHUL,Murinae,Hydromyini,Uromys,Melomys,leucogaster,Melomys leucogaster,,with Protochromys,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,lutillus,Melomys lutillus,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,matambuai,Melomys matambuai,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,rubicola,Melomys rubicola,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,rufescens,Melomys rufescens,,M. gracilis is a junior synonym,1
SAHUL,Murinae,Hydromyini,Conilurus,Mesembriomys,gouldii,Mesembriomys gouldii,,,1
SAHUL,Murinae,Hydromyini,Conilurus,Mesembriomys,macrurus,Mesembriomys macrurus,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Microhydromys,richardsoni,Microhydromys richardsoni,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Mirzamys,louiseae,Mirzamys louiseae,,Aplin Pseudohydromys,1
ASIA,Murinae,Murini,Mus,Mus,cookii,Mus cookii,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Notomys,alexis,Notomys alexis,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Notomys,aquilo,Notomys aquilo,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Notomys,cervinus,Notomys cervinus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Notomys,fuscus,Notomys fuscus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Notomys,mitchellii,Notomys mitchellii,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Parahydromys,asper,Parahydromys asper,,1 sample all studies,1
SAHUL,Murinae,Hydromyini,Hydromys,Paraleptomys,wilhelmina,Paraleptomys wilhelmina,,,1
SAHUL,Murinae,Hydromyini,Uromys,Paramelomys,levipes,Paramelomys levipes,,,
SAHUL,Murinae,Hydromyini,Uromys,Paramelomys,lorentzii,Paramelomys lorentzii,,,
SAHUL,Murinae,Hydromyini,Uromys,Paramelomys,mollis,Paramelomys mollis,,,
SAHUL,Murinae,Hydromyini,Uromys,Paramelomys,moncktoni,Paramelomys moncktoni,,,
SAHUL,Murinae,Hydromyini,Uromys,Paramelomys,naso,Paramelomys naso,,,
SAHUL,Murinae,Hydromyini,Uromys,Paramelomys,platyops,Paramelomys platyops,,,
SAHUL,Murinae,Hydromyini,Uromys,Paramelomys,rubex,Paramelomys rubex,,,
WALLACEA,Murinae,Rattini,Bunomys,Paulamys,naso,Paulamys naso,,Really a Bunomys,
SAHUL,Murinae,Hydromyini,Mallomys,Pogonomelomys,brassi,Pogonomelomys brassi,,synonym bruijni? Helgen says should be distinct species,
SAHUL,Murinae,Hydromyini,Mallomys,Pogonomelomys,mayeri,Pogonomelomys mayeri,,P. bruijni sample is actually P. mayeri (according to Helgen),1
SAHUL,Murinae,Hydromyini,Pogonomys,Pogonomys,championi,Pogonomys championi,,arfakensis distinct taxon in Musser manuscript ,
SAHUL,Murinae,Hydromyini,Pogonomys,Pogonomys,loriae,Pogonomys loriae,,,
