# Rodent assembly and mapping stats
# PYTHON VERSION: 3.6.10
# Script call:    get_spades_stats.py -p 64
# Runtime:        10/03/2020 12:20:52
# ----------------
# Total species:              210
# Total target length:        54359343.0
# Mapping directory:          ../../01-Assembly-data/06-Map/
# Assembly directory:         ../../01-Assembly-data/05-Scaffolds/
# Output file:                spades-stats.csv
# ----------
species,num-scaffs,avg-scaff-len,asm-len,asm-n50,asm-l50,asm-reads-mapped,asm-perc-reads-mapped,asm-paired-mapped,asm-perc-paired-mapped,asm-pair-mapped-diff-chr,asm-single-mapped,asm-perc-single-mapped,asm-duplicate-reads,asm-avg-depth,asm-avg-start-depth,asm-avg-mid-depth,asm-avg-end-depth,mouse-reads-mapped,mouse-perc-reads-mapped,mouse-paired-mapped,mouse-perc-paired-mapped,mouse-pair-mapped-diff-chr,mouse-single-mapped,mouse-perc-single-mapped,mouse-duplicate-reads,mouse-target-reads-mapped,mouse-target-perc-reads-mapped,mouse-target-paired-mapped,mouse-target-perc-paired-mapped,mouse-target-pair-mapped-diff-chr,mouse-target-single-mapped,mouse-target-perc-single-mapped,mouse-avg-depth,mouse-target-avg-depth,referee-unmapped-pos,referee-errors-corrected,referee-error-rate,referee-low-scores,referee-reads-mapped,referee-perc-reads-mapped,referee-duplicate-reads,referee-avg-depth,referee-avg-start-depth,referee-avg-mid-depth,referee-avg-end-depth,ins-removed,dels-removed,complex-removed,total-snps,filtered-snps
Hyomys-goliath,120585,1324.4256582493676,159705868.0,1401,33876,38228220,93.63,34945206,86.57,1731774,1059657,2.63,[15400581.0],19.687864970829903,7.385330626480448,22.76460747846178,7.325450377788648,41617288,97.79,34546384,85.58,3458938,627166,1.55,[15256491.0],26075431,99.30,24123701,93.51,686245,294989,1.14,31.58476051044378,29.406378200707834,1476140,36732,0.00022999781072540178,1480072,38231759,93.63,[15401503.0],19.69025502563941,7.398615284417738,22.765007817027037,7.332120474554288,33361,26928,599,407036,332
Mastomys-natalensis,161207,939.7487019794426,151494069.0,1088,41811,33010775,94.11,29522366,84.97,2408078,725691,2.09,[14563798.0],17.049537678935298,6.327062580954912,19.712956398789444,6.206725021625161,35865408,98.03,30081380,86.58,2587638,453965,1.31,[14556801.0],23667234,99.41,21731568,93.40,531486,217907,0.94,26.942070872015876,25.01310904364683,4419089,58787,0.0003880481948108477,4423266,33013775,94.12,[14567508.0],17.04921876871661,6.32781152539217,19.711603050271282,6.215207067056901,28108,22693,478,317445,353
Crossomys-moncktoni,149738,1133.9310729407364,169792571.0,1280,38863,46795202,95.18,42572874,87.36,2808546,963195,1.98,[18693444.0],23.16605485035941,7.537689997292289,27.028369017036862,7.743284686364944,50229409,97.75,41815354,85.81,3630222,780896,1.60,[18488887.0],33601466,99.11,30456866,92.13,814350,445412,1.35,40.80299006960783,38.09126765936078,2947790,44591,0.0002626204417388791,2950345,46798007,95.19,[18696283.0],23.167164746968947,7.546899365227194,27.027503600038397,7.751515696727547,20723,20252,321,185343,253
Eropeplus-canus,140609,866.1921000789423,121794405.0,935,40105,32394367,92.63,30852130,88.70,970722,363370,1.04,[12721289.0],21.8587632568195,6.073642628337924,25.76610494820381,6.05650957698218,35175614,98.15,32086340,92.25,1243226,392345,1.13,[13126119.0],26153401,99.45,25084350,96.37,275789,247984,0.95,33.59733214630921,29.354129298435414,2064037,59008,0.00048448859370838913,2071345,32400622,92.65,[12724149.0],21.859514609432164,6.080153545338261,25.765136725615594,6.069665008773674,28494,21670,412,400064,324
Bunomys-torajae,116706,957.4082309392833,111735285.0,937,36470,28773445,92.62,27022562,87.82,963748,475213,1.54,[11660210.0],20.298195607049514,6.19547140596798,23.750214553932476,6.754432610048503,31360908,97.60,27179096,88.33,1843180,497047,1.62,[11949814.0],21738401,99.14,20456473,94.47,394568,303115,1.40,26.57335499547772,23.46638413197893,832337,68913,0.0006167523535649459,841401,28779327,92.64,[11661228.0],20.302804121121685,6.216399100844069,23.752816907184457,6.758881407313405,24261,19657,440,282895,379
Taeromys-celebensis,131548,919.5605254355825,120966348.0,959,38479,30414412,93.28,29223540,90.07,674338,349365,1.08,[12657344.0],20.048897357610034,5.305622886974379,23.70294119709934,5.336498492412224,32689826,98.07,29992390,92.44,1101594,399838,1.23,[12910454.0],24635828,99.40,23722586,96.47,252195,260204,1.06,30.922958673893216,26.747494759088607,1700453,55790,0.0004612026478636852,1707280,30420003,93.29,[12659434.0],20.05034566968941,5.317755180376227,23.702652289922288,5.344112867895147,20781,15941,310,252887,244
Taeromys-hamatus,97572,930.5570860492764,90796316.0,919,30785,25518669,89.99,24302306,86.58,550628,367654,1.31,[9823431.0],21.891100482996695,6.283022016710745,25.764512828899548,6.477222242636675,28751170,98.37,25706412,91.58,1337276,282220,1.01,[10286057.0],20761585,99.51,19920311,96.45,288854,170119,0.82,27.122639005480874,22.934451360090943,599421,56625,0.0006236486511192811,607302,25525710,90.01,[9825358.0],21.89543793335631,6.30007912713544,25.766339453124555,6.489261775443791,17052,14048,263,172867,206
Thallomys-paedulcus,164543,814.0761806944081,133950537.0,939,43075,35636915,94.21,32809160,87.35,2037294,515158,1.37,[13918157.0],22.272390552326854,7.106772151295834,26.003405677936758,7.101607461074959,38695697,98.46,33792176,89.97,1847292,390872,1.04,[14181295.0],28110827,99.48,26007859,94.44,418812,226699,0.82,35.07503409229999,31.941907999145613,3438697,66138,0.0004937494203550673,3446058,35642162,94.23,[13921953.0],22.271741847927178,7.112573517682224,26.001981697678417,7.107034591760045,31593,23698,475,347925,386
Anonymomys-mindorensis,122485,1152.0904845491284,141113803.0,1174,35848,39184674,94.08,37610810,90.89,707242,578451,1.40,[15986752.0],22.702023545828144,5.740912411765146,26.88137949342123,6.167957191776827,41454608,97.33,37335094,90.22,1708342,709639,1.71,[15965101.0],29905691,99.10,28445797,95.12,404033,452787,1.51,37.23242202790309,33.020400154578766,1194269,42844,0.0003036131057994376,1197816,39188926,94.09,[15988276.0],22.704991326421624,5.747386833875829,26.883428125820593,6.174257591360672,31348,23585,433,352717,314
Arvicanthus-neumanni,119057,898.8326515870549,107012319.0,923,35299,23553497,91.70,22552142,88.33,532050,304785,1.19,[9474409.0],17.778353680264416,4.985639846011392,20.942776079965814,5.09844536476167,25933652,98.63,23840990,93.38,853092,212404,0.83,[9875697.0],19659320,99.63,19020668,97.19,182095,124886,0.64,24.713708293699632,21.89104101202989,1392319,61317,0.0005729901059335047,1399585,23559066,91.72,[9476345.0],17.780956345392003,4.993828743145417,20.94423202209833,5.106275418577354,22642,16968,341,223604,276
Arvicanthus-niloticus,155870,924.1817540257907,144052210.0,1031,42297,32858499,93.92,30226466,87.24,1627820,646282,1.87,[13429540.0],18.66199711919895,6.042937001999123,21.7578817762788,6.190260709730055,35345351,97.80,30740012,88.73,2129012,508511,1.47,[13413780.0],24278294,99.34,23020627,95.16,463598,271795,1.12,29.550429046357525,26.805660436330143,3806261,55285,0.0003837844625917228,3810915,32862273,93.93,[13432065.0],18.661981519945243,6.045979605082116,21.756609702490184,6.201363499465971,29929,22521,676,273853,286
Dephomys-defua,178330,850.5004261761902,151669741.0,990,46714,34381047,94.15,31519320,86.88,2013912,588582,1.62,[14973169.0],18.16535057832686,5.910671424022152,21.174038738737103,5.834944076395494,36700458,97.92,32870890,90.61,1684634,492190,1.36,[15040889.0],25675632,99.38,24588382,95.86,377315,276822,1.08,29.672240449689887,27.21408501938664,5736888,54129,0.00035688727127186165,5741760,34384358,94.15,[14977471.0],18.162566907958492,5.919682900975373,21.170174341729187,5.835389839134634,36101,26216,636,440546,317
Heimyscus-fumosus,223294,791.9564117262444,176839115.0,1009,54203,49967494,95.57,44988794,86.66,3860428,715024,1.38,[20046310.0],23.657220557990364,8.031998363844307,27.479740161728653,7.907077806931625,53192589,98.66,47022632,90.58,2760438,480113,0.92,[20226701.0],37698378,99.57,35717565,95.61,600686,258614,0.69,44.5604043810971,41.96869467314938,7330114,62563,0.000353784851275692,7337142,49972335,95.58,[20052375.0],23.652341199347056,8.040456266486707,27.472876856421845,7.916207826654251,52193,39304,803,654670,480
Lophiomys-imhausi,105438,792.83590356418,83595032.0,816,33112,21399089,89.15,19785116,83.44,930698,388071,1.64,[7990442.0],20.978690518497388,6.187256512710131,24.637461707095934,6.2544594118418155,23416970,94.60,19735148,83.23,1601012,769264,3.24,[8094573.0],16357587,98.26,15152394,92.08,325016,512210,3.11,26.36337304498965,18.403586518696518,1357934,69906,0.0008362458668596479,1365690,21407419,89.17,[7992994.0],20.98477397259286,6.203390342586677,24.641716013550063,6.266246303148553,16413,13265,223,180611,235
Lophuromys-woosnami,121887,877.6341529449408,106972194.0,968,36074,26110996,90.00,23490660,82.16,1506552,680045,2.38,[10780219.0],18.72298244349104,6.821030218088978,21.67340722360683,6.749403582951158,26969350,90.56,21724258,75.98,2144404,1587791,5.55,[10359615.0],18079514,96.65,16201413,87.32,474468,1057225,5.70,27.56434968730488,18.74569983305354,2462004,45029,0.00042094116532750557,2465491,26116405,90.01,[10782551.0],18.72375645384321,6.838729585166632,21.671077822262394,6.760910814864063,25448,19756,384,351633,321
Micaelemys-namaquensis,207818,751.4329124522419,156161285.0,939,51912,37560695,94.56,34582034,87.55,2217962,519257,1.31,[14304162.0],20.784656538305672,6.550488068222645,24.243143717558606,6.412982284412807,40113544,98.57,36713934,92.95,1346116,357182,0.90,[14585569.0],29945494,99.59,28845270,96.77,310723,207444,0.70,37.456835713552245,34.58590077146444,7553402,59371,0.0003801902629067121,7559883,37565558,94.57,[14309222.0],20.781520022499397,6.553294002629084,24.239117095025957,6.420516314785015,51669,37304,676,599284,414
Mylomys-dybowskii,138101,808.1288260041564,111603399.0,869,39049,31063405,92.33,29754274,88.97,775890,313692,0.94,[11664274.0],23.296252367295928,6.359297561515803,27.463509028484683,6.479406348280616,34243103,99.01,31347698,93.74,1164546,206592,0.62,[12137042.0],26177361,99.75,25300985,97.45,228349,114445,0.44,33.69621982578554,30.254736044179193,2003671,75075,0.0006726945655122923,2014458,31071893,92.35,[11667637.0],23.30061693973418,6.368276802886257,27.467123948671865,6.488087625752951,22167,16818,337,221314,281
Myomyscus-verreauxii,119762,1036.2376463318915,124101893.0,1035,35071,35650332,93.75,33444206,88.94,1148164,605689,1.61,[13818368.0],23.382525012257307,7.657021146798742,27.31763045128638,7.59124670711871,39291193,98.96,33740776,89.73,2405888,269709,0.72,[14023294.0],27510975,99.69,25712419,95.34,472144,132504,0.49,34.02457463007365,31.504337184502027,852530,59686,0.00048094350986249663,860474,35655840,93.76,[13820003.0],23.386300628581942,7.67559422216997,27.318303292156926,7.604773194604772,28247,22416,457,268163,463
Rhabdomys-pumilio,133598,834.1196649650444,111436719.0,882,38512,28076392,91.80,26789232,88.13,748350,328367,1.08,[10648196.0],20.917937614470578,5.918822790587277,24.608244979966344,6.05128308151681,30913831,98.79,28488072,93.72,1008114,229481,0.75,[11129090.0],23676931,99.68,23007951,97.51,199322,133167,0.56,30.43099326163561,27.09885124991301,1900651,62359,0.000559591134408758,1908160,28083585,91.82,[10650853.0],20.920589853245218,5.927785890929334,24.609393982474334,6.063595780663943,39170,29559,523,489788,401
Stochomys-longicaudatus,120873,873.2449430393884,105551736.0,906,35737,25940290,90.88,24795128,87.42,614774,331200,1.17,[9899566.0],20.044097337756494,5.705314136171021,23.609843796713303,5.62746528415975,28960127,98.76,26526134,93.52,988266,206754,0.73,[10413648.0],21427102,99.72,20838595,97.62,179058,109092,0.51,27.041173235559146,24.11948475904133,1449391,53279,0.000504766686168004,1456563,25946821,90.90,[9902184.0],20.047805598870546,5.715705308347664,23.612494417426195,5.633671914895035,22437,16875,335,265265,280
